passport.qq.com               	112.90.8.102
uni.qq.com                    	58.250.9.22
mail.qq.com                   	14.18.245.237
dd.qq.com                     	0.0.0.1
h6.qq.com                     	0.0.0.1
shop.qq.com                   	42.81.85.253
h5.qq.com                     	101.227.160.34
open.qq.com                   	163.177.68.177
astro.qq.com                  	125.39.52.26
ar.qq.com                     	125.39.133.26
member.qq.com                 	58.251.61.199
domain.qq.com                 	0.0.0.1
tr.qq.com                     	0.0.0.1
ff.qq.com                     	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
f5.qq.com                     	124.236.35.11,124.236.35.12,106.117.248.167,106.117.248.169,103.18.209.117
ads.qq.com                    	220.249.243.181
ipod.qq.com                   	0.0.0.1
book.qq.com                   	140.207.62.101
tap.qq.com                    	0.0.0.1
dns.qq.com                    	119.29.29.229
sms.qq.com                    	183.3.225.67
victor.qq.com                 	140.207.127.66
sps.qq.com                    	0.0.0.1
cloudphone.qq.com             	0.0.0.1
download.qq.com               	125.39.247.177,125.39.247.166
des.qq.com                    	134.175.75.114
me.qq.com                     	125.39.133.126
2012.qq.com                   	125.39.52.26
6.qq.com                      	0.0.0.1
adv.qq.com                    	0.0.0.1
signup.qq.com                 	163.177.56.115
poker.qq.com                  	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
